url,Index,review_rating,review_title,Review_text
https://www.amazon.in/Sensodyne-Sensitive-Toothbrush-Expert-Color/product-reviews/B018FPEAMK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,5,You buy it for 3 months and then buy again,It is a good brush. It lasted for close to 3 months before it deformed and I had to buy a new one. It is soft and the grip of the handle is very good.
,1,4,Good,Good
,2,5,Good Product,Nice grip
,3,5,Its a brush,It's a brush.
,4,3,nice clean feel after brushing,"The handle is so thick, it wont fit standard toothbrush-holders / stands. The brush is sloping forward, strange feel in the mouth; I guess it will take getting used to. Thorough brushing, nice clean feel after brushing."
,5,5,Amazing toothbrush,I have been searching for this toothbrush in stores but couldn't find one. Thanks to Amazon for this. I love the fact that it has tonguecleaner at the back and the quality is top notch. There are so many brushes with tongue cleaner nowadays but none of those can be compared to this brush. Amazing design and quality.
,6,4,Good content,Good content
,7,5,Good,Comfortable
,8,4,Hard,Hard
,9,5,Good.,Good product.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,5,Good paste,Freshness and good oral hygiene
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,,4,Cheap in sale,Quality is good with freshness but germs cleaning could have been better
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,,5,Original colgate past,Quick delivery in scheduled time. In this price quantities is so good.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,,5,Good product,Good.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,,5,Good,Best to market price
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6,,4,Good as always,"It's good toothpaste, but i would suggest you to go for Colgate Sensitive. That contains less harmful chemicals than this one varient."
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7,,5,My favorite,It is good for cavity and effective.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8,,3,normal,the toothpaste is just like another normal colgate toothpaste and don't have any specialty and doesn't remove any bad breaths
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9,,5,Satisfied,Good toothpaste
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10,,5,Faster delivery good product,Faster delivery good product
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11,,--,,
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&pageNumber=12,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,,,
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,5,Superb quality product,Excellent productlike this
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,,4,Good product,Value for money
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,,5,Good,Good product
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,,5,amezing performence,itis not only paste medicine of teeth also
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,,5,Value for money,Best product
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,,4,Good,Nice
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6,,5,Best for teeth,Product is the best
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7,,3,Good,"Good one iteam,.... ... ....... ..... good quality ...... ...... .....good product..... ... .... .... .... .... .... ...."
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8,,5,Perfect,[object Object]
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9,,5,👌,🙏🙏🙏
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10,,--,,
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
,,--,,
